Date,Close/Last,Volume,Open,High,Low
08/16/2021,4479.71,--,4461.65,4480.26,4437.66
08/13/2021,4468,--,4464.84,4468.37,4460.82
08/12/2021,4460.83,--,4446.08,4461.77,4435.96
08/11/2021,4447.7,--,4442.18,4449.44,4436.42
08/10/2021,4436.75,--,4435.79,4445.21,4430.03
08/09/2021,4432.35,--,4437.77,4439.39,4424.74
08/06/2021,4436.52,--,4429.07,4440.82,4429.07
08/05/2021,4429.1,--,4408.86,4429.76,4408.86
08/04/2021,4402.66,--,4415.95,4416.17,4400.23
08/03/2021,4423.15,--,4392.74,4423.79,4373
08/02/2021,4387.16,--,4406.86,4422.18,4384.81
07/30/2021,4395.26,--,4395.12,4412.25,4389.65
07/29/2021,4419.15,--,4403.59,4429.97,4403.59
07/28/2021,4400.64,--,4402.95,4415.47,4387.01
07/27/2021,4401.46,--,4416.38,4416.38,4372.51
07/26/2021,4422.3,--,4409.58,4422.73,4405.45
07/23/2021,4411.79,--,4381.2,4415.18,4381.2
07/22/2021,4367.48,--,4361.27,4369.87,4350.06
07/21/2021,4358.69,--,4331.13,4359.7,4331.13
07/20/2021,4323.06,--,4265.11,4336.84,4262.05
07/19/2021,4258.49,--,4296.4,4296.4,4233.13
